Exp.Date:,Voyage N°:,Poids:,Montant HT:,filename,Depart,Arrivee
2023-12-15,PARTRP000100992,"6000,00","350,00",SupplierPreInvoiceSPI00450803.pdf,"FR-77185 LOGNES
A",FR-60300 SENLIS
2023-12-15,PARTRP000101238,"769,91","260,00",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-95130 LE PLESSIS
2023-12-18,PARTRP000101276,"184,62","267,50",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-77400 ST THIBAULT
2023-12-18,PARTRP000101277,"202,33","267,50",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-91310 MONTLHERY
2023-12-19,PARTRP000101305,"3160,00","350,00",SupplierPreInvoiceSPI00450803.pdf,"FR-94200 IVRY SUR SEINE
A",FR-60300 SENLIS
2023-12-19,PARTRP000101326,"292,37","256,80",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-91420 MORANGIS
2023-12-19,PARTRP000101328,"384,46","267,50",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-94210 ST MAUR LA
2023-12-20,PARTRP000101365,"418,11","256,80",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-92270 BOIS
2023-12-20,PARTRP000101366,"367,05","267,50",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-78320 LE MESNIL ST
2023-12-20,PARTRP000101353,"1674,51","374,50",SupplierPreInvoiceSPI00450803.pdf,"FR-77170 BRIE COMTE
A",FR-51100 CHALONS EN
2023-12-21,PARTRP000101373,"48,00","140,00",SupplierPreInvoiceSPI00450803.pdf,"FR-60420 TRICOT
A",FR-95670 MARLY
2023-12-21,PARTRP000101415,"463,57","374,50",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-93420 VILLEPINTE
2023-12-21,PARTRP000101416,"238,18","267,50",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-93110 ROSNY SOUS
2023-12-22,PARTRP000101471,"197,89","278,20",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-77320 LESCHEROLLES
2023-12-22,PARTRP000101472,"238,56","267,50",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-78120 RAMBOUILLET
2023-12-26,PARTRP000101514,"50,59","107,00",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-78580 MAULE
2023-12-27,PARTRP000101538,"444,77","374,50",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-93110 ROSNY SOUS
2023-12-27,PARTRP000101539,"362,94","267,50",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-78170 LA CELLE ST
2023-12-27,PARTRP000101528,"2100,84","374,50",SupplierPreInvoiceSPI00450803.pdf,"FR-77170 BRIE COMTE
A",FR-51100 CHALONS EN
2023-12-28,PARTRP000101507,"4670,00","470,00",SupplierPreInvoiceSPI00450803.pdf,"FR-94200 IVRY SUR SEINE
A",FR-60300 SENLIS
2023-12-28,PARTRP000101562,"104,12","8,40",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-93110 ROSNY SOUS
2023-12-29,PARTRP000101595,"586,72","18,20",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-93110 ROSNY SOUS
2023-12-29,PARTRP000101596,"679,96","17,50",SupplierPreInvoiceSPI00450803.pdf,"FR-95500 BONNEUIL EN
A",FR-77450 VIGNELY
2024-01-10,PARCTG000176615,"14026,34","250,00",SupplierPreInvoiceSPI00453576.pdf,"FR-77185 LOGNES
A",FR-77185 LOGNES
